step,metric,value,variant,seed
28160000.0,eval/return,32.2530632019043,adaptive_tanh_episode,1
28160000.0,train/return,30.89557456970215,adaptive_tanh_episode,1
28160000.0,train/success_once,0.0,adaptive_tanh_episode,1
29440000.0,eval/success_once,0.0,adaptive_tanh_episode,1
29440000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
29440000.0,eval/return,32.792240142822266,adaptive_tanh_episode,1
29440000.0,train/return,30.870712280273438,adaptive_tanh_episode,1
29440000.0,train/success_once,0.0,adaptive_tanh_episode,1
30720000.0,eval/success_once,0.0,adaptive_tanh_episode,1
30720000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
30720000.0,eval/return,31.812063217163086,adaptive_tanh_episode,1
30720000.0,train/return,29.86834144592285,adaptive_tanh_episode,1
30720000.0,train/success_once,0.0,adaptive_tanh_episode,1
32000000.0,eval/success_once,0.0,adaptive_tanh_episode,1
32000000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
32000000.0,eval/return,30.509193420410156,adaptive_tanh_episode,1
32000000.0,train/return,31.683055877685547,adaptive_tanh_episode,1
32000000.0,train/success_once,0.0,adaptive_tanh_episode,1
33280000.0,eval/success_once,0.0,adaptive_tanh_episode,1
33280000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
33280000.0,eval/return,29.792789459228516,adaptive_tanh_episode,1
33280000.0,train/return,30.758832931518555,adaptive_tanh_episode,1
33280000.0,train/success_once,0.0,adaptive_tanh_episode,1
34560000.0,eval/success_once,0.0,adaptive_tanh_episode,1
34560000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
34560000.0,eval/return,33.04776382446289,adaptive_tanh_episode,1
34560000.0,train/return,30.57371711730957,adaptive_tanh_episode,1
34560000.0,train/success_once,0.0,adaptive_tanh_episode,1
35840000.0,eval/success_once,0.0,adaptive_tanh_episode,1
35840000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
35840000.0,eval/return,33.3689079284668,adaptive_tanh_episode,1
35840000.0,train/return,31.539165496826172,adaptive_tanh_episode,1
35840000.0,train/success_once,0.0,adaptive_tanh_episode,1
37120000.0,eval/success_once,0.0,adaptive_tanh_episode,1
37120000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
37120000.0,eval/return,32.382144927978516,adaptive_tanh_episode,1
37120000.0,train/return,31.746196746826172,adaptive_tanh_episode,1
37120000.0,train/success_once,0.0,adaptive_tanh_episode,1
38400000.0,eval/success_once,0.0,adaptive_tanh_episode,1
38400000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
38400000.0,eval/return,32.692665100097656,adaptive_tanh_episode,1
38400000.0,train/return,30.72841453552246,adaptive_tanh_episode,1
38400000.0,train/success_once,0.0,adaptive_tanh_episode,1
39680000.0,eval/success_once,0.0625,adaptive_tanh_episode,1
39680000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
39680000.0,eval/return,30.77517318725586,adaptive_tanh_episode,1
39680000.0,train/return,31.62308120727539,adaptive_tanh_episode,1
39680000.0,train/success_once,0.0,adaptive_tanh_episode,1
0.0,eval/success_once,0.0,concave_truncated,42
0.0,eval/success_at_end,0.0,concave_truncated,42
0.0,eval/return,1.698143482208252,concave_truncated,42
0.0,train/return,1.4611798524856567,concave_truncated,42
0.0,train/success_once,0.0,concave_truncated,42
1280000.0,eval/success_once,0.0,concave_truncated,42
1280000.0,eval/success_at_end,0.0,concave_truncated,42
1280000.0,eval/return,17.060291290283203,concave_truncated,42
1280000.0,train/return,12.159597396850586,concave_truncated,42
1280000.0,train/success_once,0.0,concave_truncated,42
2560000.0,eval/success_once,0.0,concave_truncated,42
2560000.0,eval/success_at_end,0.0,concave_truncated,42
2560000.0,eval/return,24.40786361694336,concave_truncated,42
2560000.0,train/return,19.81583023071289,concave_truncated,42
2560000.0,train/success_once,0.0,concave_truncated,42
3840000.0,eval/success_once,0.0,concave_truncated,42
3840000.0,eval/success_at_end,0.0,concave_truncated,42
3840000.0,eval/return,24.150146484375,concave_truncated,42
3840000.0,train/return,21.86474609375,concave_truncated,42
3840000.0,train/success_once,0.0,concave_truncated,42
5120000.0,eval/success_once,0.0,concave_truncated,42
5120000.0,eval/success_at_end,0.0,concave_truncated,42
5120000.0,eval/return,27.5379638671875,concave_truncated,42
5120000.0,train/return,23.869670867919922,concave_truncated,42
5120000.0,train/success_once,0.0,concave_truncated,42
